[1, 1, [1, 1], [1, 1]]  :  0.002811591502193025
[1, 0, [1, 1], [1, 1]]  :  0.0020940720795124936
[0, 1, [1, 1], [1, 1]]  :  0.0020940720795117438
[0, 0, [1, 1], [1, 1]]  :  0.0027292005545334935
[1, 1, [1, 1], [1, 0]]  :  0.0028115915021927327
[1, 0, [1, 1], [1, 0]]  :  0.011943701959508935
[0, 1, [1, 1], [1, 0]]  :  0.003003027589670974
[0, 0, [1, 1], [1, 0]]  :  0.006513231149271611
[1, 1, [1, 1], [0, 1]]  :  0.0028115915021932982
[1, 0, [1, 1], [0, 1]]  :  0.011819658504863474
[0, 1, [1, 1], [0, 1]]  :  0.006091610965051072
[0, 0, [1, 1], [0, 1]]  :  0.034452213752501425
[1, 1, [1, 1], [0, 0]]  :  0.0028115915021933546
[1, 0, [1, 1], [0, 0]]  :  0.017518240725152956
[0, 1, [1, 1], [0, 0]]  :  0.0074066202472189025
[0, 0, [1, 1], [0, 0]]  :  0.007782415048121327
[1, 1, [1, 0], [1, 1]]  :  0.03652734274551113
[1, 0, [1, 0], [1, 1]]  :  0.006521906111767658
[0, 1, [1, 0], [1, 1]]  :  0.010984722485121768
[0, 0, [1, 0], [1, 1]]  :  0.0027292005545351996
[1, 1, [1, 0], [1, 0]]  :  0.03652734274551166
[1, 0, [1, 0], [1, 0]]  :  0.013576618781814627
[0, 1, [1, 0], [1, 0]]  :  0.013580856184212847
[0, 0, [1, 0], [1, 0]]  :  0.0065132311492717586
[1, 1, [1, 0], [0, 1]]  :  0.03652734274551166
[1, 0, [1, 0], [0, 1]]  :  0.010233247147938515
[0, 1, [1, 0], [0, 1]]  :  0.008983103141764263
[0, 0, [1, 0], [0, 1]]  :  0.0344522137525026
[1, 1, [1, 0], [0, 0]]  :  0.036527342745511886
[1, 0, [1, 0], [0, 0]]  :  0.013674519991207706
[0, 1, [1, 0], [0, 0]]  :  0.02692664227494325
[0, 0, [1, 0], [0, 0]]  :  0.007782415048121143
[1, 1, [0, 1], [1, 1]]  :  0.005888923181175193
[1, 0, [0, 1], [1, 1]]  :  0.002615819264078657
[0, 1, [0, 1], [1, 1]]  :  0.012716500341949231
[0, 0, [0, 1], [1, 1]]  :  0.023587168591858165
[1, 1, [0, 1], [1, 0]]  :  0.005888923181175396
[1, 0, [0, 1], [1, 0]]  :  0.008978553538077258
[0, 1, [0, 1], [1, 0]]  :  0.010237506572191411
[0, 0, [0, 1], [1, 0]]  :  0.006513231149271694
[1, 1, [0, 1], [0, 1]]  :  0.005888923181175205
[1, 0, [0, 1], [0, 1]]  :  0.014119893695833847
[0, 1, [0, 1], [0, 1]]  :  0.014124108049450306
[0, 0, [0, 1], [0, 1]]  :  0.034452213752501085
[1, 1, [0, 1], [0, 0]]  :  0.005888923181175485
[1, 0, [0, 1], [0, 0]]  :  0.015149448857087522
[0, 1, [0, 1], [0, 0]]  :  0.012161884419651917
[0, 0, [0, 1], [0, 0]]  :  0.025496327051940538
[1, 1, [0, 0], [1, 1]]  :  0.02571610756265033
[1, 0, [0, 0], [1, 1]]  :  0.007350904102436591
[0, 1, [0, 0], [1, 1]]  :  0.017527122693824598
[0, 0, [0, 0], [1, 1]]  :  0.023587168591858297
[1, 1, [0, 0], [1, 0]]  :  0.025716107562650657
[1, 0, [0, 0], [1, 0]]  :  0.011779842280097689
[0, 1, [0, 0], [1, 0]]  :  0.015070074958625562
[0, 0, [0, 0], [1, 0]]  :  0.006513231149271728
[1, 1, [0, 0], [0, 1]]  :  0.025716107562650612
[1, 0, [0, 0], [0, 1]]  :  0.02731184180904348
[0, 1, [0, 0], [0, 1]]  :  0.013746397417291683
[0, 0, [0, 0], [0, 1]]  :  0.03445221375250107
[1, 1, [0, 0], [0, 0]]  :  0.02571610756265056
[1, 0, [0, 0], [0, 0]]  :  0.04191480983248725
[0, 1, [0, 0], [0, 0]]  :  0.041914809832487264
[0, 0, [0, 0], [0, 0]]  :  0.025496327051941225
