[1, 1, [1, 1], [1, 1]]  :  0.008772808017844051
[1, 0, [1, 1], [1, 1]]  :  0.011546326194258152
[0, 1, [1, 1], [1, 1]]  :  0.011546326194242559
[0, 0, [1, 1], [1, 1]]  :  0.008665081504152817
[1, 1, [1, 1], [1, 0]]  :  0.00877280801784391
[1, 0, [1, 1], [1, 0]]  :  0.01943471472591667
[0, 1, [1, 1], [1, 0]]  :  0.003982967164592248
[0, 0, [1, 1], [1, 0]]  :  0.005171480351761098
[1, 1, [1, 1], [0, 1]]  :  0.008772808017843404
[1, 0, [1, 1], [0, 1]]  :  0.009487938944947347
[0, 1, [1, 1], [0, 1]]  :  0.009005560038213263
[0, 0, [1, 1], [0, 1]]  :  0.060094551610701104
[1, 1, [1, 1], [0, 0]]  :  0.008772808017843404
[1, 0, [1, 1], [0, 0]]  :  0.00573649579162904
[0, 1, [1, 1], [0, 0]]  :  0.005521039358935883
[0, 0, [1, 1], [0, 0]]  :  0.0064529845788940075
[1, 1, [1, 0], [1, 1]]  :  0.06419401100680729
[1, 0, [1, 0], [1, 1]]  :  0.008650155183325925
[0, 1, [1, 0], [1, 1]]  :  0.0097003242362583
[0, 0, [1, 0], [1, 1]]  :  0.008665081504156309
[1, 1, [1, 0], [1, 0]]  :  0.06419401100680684
[1, 0, [1, 0], [1, 0]]  :  0.0069905010627467155
[0, 1, [1, 0], [1, 0]]  :  0.0069880908489698915
[0, 0, [1, 0], [1, 0]]  :  0.00517148035176081
[1, 1, [1, 0], [0, 1]]  :  0.06419401100680748
[1, 0, [1, 0], [0, 1]]  :  0.005317206285807743
[0, 1, [1, 0], [0, 1]]  :  0.005215957911667833
[0, 0, [1, 0], [0, 1]]  :  0.06009455161070015
[1, 1, [1, 0], [0, 0]]  :  0.06419401100680748
[1, 0, [1, 0], [0, 0]]  :  0.006158518845151117
[0, 1, [1, 0], [0, 0]]  :  0.009040483295590596
[0, 0, [1, 0], [0, 0]]  :  0.006452984578893906
[1, 1, [0, 1], [1, 1]]  :  0.005009666884275133
[1, 0, [0, 1], [1, 1]]  :  0.004057003006158735
[0, 1, [0, 1], [1, 1]]  :  0.017941970152671502
[0, 0, [0, 1], [1, 1]]  :  0.028056840122804804
[1, 1, [0, 1], [1, 0]]  :  0.005009666884275299
[1, 0, [0, 1], [1, 0]]  :  0.005218367694301179
[0, 1, [0, 1], [1, 0]]  :  0.005314889050836103
[0, 0, [0, 1], [1, 0]]  :  0.005171480351761015
[1, 1, [0, 1], [0, 1]]  :  0.005009666884275335
[1, 0, [0, 1], [0, 1]]  :  0.007154887591824036
[0, 1, [0, 1], [0, 1]]  :  0.0071525238077940045
[0, 0, [0, 1], [0, 1]]  :  0.06009455161069832
[1, 1, [0, 1], [0, 0]]  :  0.005009666884275329
[1, 0, [0, 1], [0, 0]]  :  0.006566539997560764
[0, 1, [0, 1], [0, 0]]  :  0.006471839376831245
[0, 0, [0, 1], [0, 0]]  :  0.01357422222807868
[1, 1, [0, 0], [1, 1]]  :  0.01388883687931161
[1, 0, [0, 0], [1, 1]]  :  0.005529218798518584
[0, 1, [0, 0], [1, 1]]  :  0.005736902023693622
[0, 0, [0, 0], [1, 1]]  :  0.028056840122804665
[1, 1, [0, 0], [1, 0]]  :  0.013888836879311584
[1, 0, [0, 0], [1, 0]]  :  0.006399860754278802
[0, 1, [0, 0], [1, 0]]  :  0.0065947305606948725
[0, 0, [0, 0], [1, 0]]  :  0.005171480351761243
[1, 1, [0, 0], [0, 1]]  :  0.013888836879311334
[1, 0, [0, 0], [0, 1]]  :  0.009103456878704678
[0, 1, [0, 0], [0, 1]]  :  0.006111316678776838
[0, 0, [0, 0], [0, 1]]  :  0.06009455161069921
[1, 1, [0, 0], [0, 0]]  :  0.013888836879311584
[1, 0, [0, 0], [0, 0]]  :  0.012150105837221925
[0, 1, [0, 0], [0, 0]]  :  0.012150105837221925
[0, 0, [0, 0], [0, 0]]  :  0.013574222228078612
